param_name,param_value,func_output
syst3,-4.3939393939393945,-19.87137492186916
syst3,-4.292929292929292,-19.439858445982722
syst3,-4.191919191919192,-19.01870248319326
syst3,-4.09090909090909,-18.60790739192597
syst3,-3.9898989898989896,-18.20747353183083
syst3,-3.8888888888888893,-17.817401263788792
syst3,-3.7878787878787876,-17.43769094991687
syst3,-3.686868686868687,-17.06834295357424
syst3,-3.585858585858585,-16.709357639367767
syst3,-3.4848484848484844,-16.360735373157397
syst3,-3.383838383838384,-16.02247652206281
syst3,-3.2828282828282833,-15.69458145446797
syst3,-3.1818181818181817,-15.377050540027838
syst3,-3.0808080808080813,-15.069884149674264
syst3,-2.97979797979798,-14.773082655620906
syst3,-2.878787878787879,-14.486646431370524
syst3,-2.7777777777777777,-14.210575851719856
syst3,-2.6767676767676774,-13.944871292765999
syst3,-2.575757575757576,-13.68953313191236
syst3,-2.474747474747474,-13.444561747874857
syst3,-2.3737373737373737,-13.209957520688137
syst3,-2.2727272727272734,-12.985720831710825
syst3,-2.1717171717171713,-12.771852063633165
syst3,-2.070707070707071,-12.568351600481797
syst3,-1.9696969696969702,-12.375219827627017
syst3,-1.8686868686868685,-12.192457131788073
syst3,-1.7676767676767668,-12.020063901040615
syst3,-1.6666666666666674,-11.858040524822208
syst3,-1.5656565656565657,-11.706387393938737
syst3,-1.464646464646464,-11.565104900571486
syst3,-1.3636363636363633,-11.434193438282685
syst3,-1.2626262626262628,-11.313653402023023
syst3,-1.1616161616161613,-11.20348518813716
syst3,-1.0606060606060606,-11.103689194370947
syst3,-0.9595959595959598,-10.536193037527834
syst3,-0.8585858585858581,-10.303029514368893
syst3,-0.7575757575757573,-11.141402356169438
syst3,-0.6565656565656566,-13.153655196349346
syst3,-0.5555555555555554,-16.274124582870165
syst3,-0.4545454545454546,-20.191657220578826
syst3,-0.3535353535353538,-24.39279074343081
syst3,-0.2525252525252526,-28.268461991463184
syst3,-0.15151515151515138,-31.2354840336598
syst3,-0.050505050505050164,-32.84228167105768
syst3,0.05050505050505105,-32.842486843312784
syst3,0.15151515151515138,-31.239133331950868
syst3,0.2525252525252526,-28.277289783566786
syst3,0.3535353535353538,-24.406083295429443
syst3,0.45454545454545414,-20.210436378955215
syst3,0.5555555555555554,-16.299789670600028
syst3,0.6565656565656566,-13.187973014642237
syst3,0.7575757575757578,-11.186428124260745
syst3,0.8585858585858581,-10.360998480852038
syst3,0.9595959595959593,-10.609593603930943
syst3,1.0606060606060606,-11.177210121284322
syst3,1.161616161616161,-11.283236920420501
syst3,1.262626262626263,-11.399503329690562
syst3,1.3636363636363633,-11.526009309084353
syst3,1.4646464646464654,-11.662754818656527
syst3,1.5656565656565657,-11.809739818528126
syst3,1.666666666666666,-11.966964268884885
syst3,1.7676767676767682,-12.134428129977682
syst3,1.8686868686868685,-12.312131362122981
syst3,1.9696969696969704,-12.500073925701724
syst3,2.070707070707071,-12.698255781159865
syst3,2.1717171717171713,-12.90667688900783
syst3,2.2727272727272734,-13.125337209820504
syst3,2.3737373737373737,-13.354236704237339
syst3,2.474747474747475,-13.5933753329618
syst3,2.575757575757576,-13.842753056761584
syst3,2.6767676767676765,-14.102369836468045
syst3,2.7777777777777777,-14.372225632976669
syst3,2.878787878787879,-14.652320407246371
syst3,2.97979797979798,-14.942654120299673
syst3,3.080808080808081,-15.243226733222425
syst3,3.181818181818182,-15.554038207163742
syst3,3.2828282828282833,-15.875088503336064
syst3,3.3838383838383836,-16.206377583014124
syst3,3.484848484848485,-16.547905407536447
syst3,3.585858585858585,-16.89967193830327
syst3,3.686868686868687,-17.261677136778186
syst3,3.7878787878787876,-17.633920964486705
syst3,3.888888888888889,-18.01640338301707
