param_name,param_value,func_output
mu,4.353535353535354,-68.95443073755013
mu,4.434343434343434,-70.02276613721057
mu,4.515151515151516,-71.09892509575997
mu,4.595959595959596,-72.18281771080115
mu,4.6767676767676765,-73.27435562302918
mu,4.757575757575758,-74.37345198106749
mu,4.838383838383838,-75.48002140730028
mu,4.91919191919192,-76.59397996466663
mu,5.0,-77.71524512439032
syst3,-5.0,-23.182155313425824
syst3,-4.8989898989899,-22.68220632862836
syst3,-4.797979797979798,-22.192460384336954
syst3,-4.696969696969697,-21.71291748055163
syst3,-4.595959595959595,-21.24357761727237
syst3,-4.494949494949495,-20.784440794499183
syst3,-4.3939393939393945,-20.33550701223207
syst3,-4.292929292929292,-19.896776270471022
syst3,-4.191919191919192,-19.46824856921605
syst3,-4.09090909090909,-19.049923908467143
syst3,-3.9898989898989896,-18.641802288224312
syst3,-3.8888888888888893,-18.243883708487555
syst3,-3.7878787878787876,-17.85616816925686
syst3,-3.686868686868687,-17.478655670532245
syst3,-3.585858585858585,-17.11134621231369
syst3,-3.4848484848484844,-16.75423979460122
syst3,-3.383838383838384,-16.40733641739481
syst3,-3.2828282828282833,-16.070636080694477
syst3,-3.1818181818181817,-15.744138784500208
syst3,-3.0808080808080813,-15.427844528812015
syst3,-2.97979797979798,-15.12175331362989
syst3,-2.878787878787879,-14.825865138953837
syst3,-2.7777777777777777,-14.540180004783853
syst3,-2.6767676767676774,-14.264697911119942
syst3,-2.575757575757576,-13.999418857962102
syst3,-2.474747474747474,-13.743241431272466
syst3,-2.3737373737373737,-13.493973086560745
syst3,-2.2727272727272734,-13.254924227032934
syst3,-2.1717171717171713,-13.026094840620832
syst3,-2.070707070707071,-12.80748491526932
syst3,-1.9696969696969702,-12.599094438936572
syst3,-1.8686868686868685,-12.400923399593948
syst3,-1.7676767676767668,-12.212971785225946
syst3,-1.6666666666666674,-12.035239583830652
syst3,-1.5656565656565657,-11.867726783418927
syst3,-1.464646464646464,-11.710433372014778
syst3,-1.3636363636363633,-11.563359337655848
syst3,-1.2626262626262628,-11.426504668392399
syst3,-1.1616161616161613,-11.299869352288107
syst3,-1.0606060606060606,-11.183453377419273
syst3,-0.9595959595959598,-10.605411509619113
syst3,-0.8585858585858581,-10.34583681417738
syst3,-0.7575757575757573,-11.159049655585905
syst3,-0.6565656565656566,-13.147139632293259
syst3,-0.5555555555555554,-16.24479002854803
syst3,-0.4545454545454546,-20.141421713677367
syst3,-0.3535353535353538,-24.324231076464248
syst3,-0.2525252525252526,-28.184811003645663
